lead_id,created_at,country,timezone_utc_offset,segment,channel,company_size_band,estimated_team_size,buyer_role,expected_mrr_usd,business_hours_start_local,business_hours_end_local
L100954,2026-05-13,COL,-5,AccountantFirm,Paid Search,2-10,8,Firm Owner,239.75,9,18
L100955,2026-04-05,PER,-5,SMB,Paid Search,11-50,26,Finance Lead,152.3,8,18
L100956,2026-02-18,COL,-5,AccountantFirm,Organic,2-10,4,Firm Owner,130.36,9,18
L100957,2026-05-25,DOM,-4,AccountantFirm,Webinar,11-50,14,Partner,362.91,9,18
L100958,2026-02-14,COL,-5,AccountantFirm,Organic,11-50,42,Firm Owner,520.65,9,18
L100959,2026-02-26,DOM,-4,SMB,Organic,Solo,1,Operations,20.67,8,18
L100960,2026-04-04,DOM,-4,SMB,Referral,11-50,49,Finance Lead,141.37,8,18
L100961,2026-06-01,COL,-5,AccountantFirm,Outbound,11-50,13,Partner,376.16,9,18
L100962,2026-03-11,CRI,-6,SMB,Outbound,2-10,3,Operations,71.06,8,18
L100963,2026-03-31,PER,-5,AccountantFirm,Referral,11-50,19,Senior Accountant,167.16,9,18
L100964,2026-01-08,PER,-5,SMB,Organic,Solo,1,Owner,30.77,8,18
L100965,2026-01-21,COL,-5,AccountantFirm,Referral,11-50,42,Partner,374.31,9,18
L100966,2026-01-11,DOM,-4,SMB,Organic,2-10,3,Finance Lead,64.85,8,18
L100967,2026-01-14,MEX,-6,SMB,Paid Search,Solo,1,Owner,35.29,8,18
L100968,2026-06-07,MEX,-6,AccountantFirm,Marketplace,2-10,2,Firm Owner,208.72,9,18
L100969,2026-06-02,MEX,-6,AccountantFirm,Partner Program,11-50,24,Senior Accountant,791.91,9,18
L100970,2026-05-29,MEX,-6,AccountantFirm,Referral,11-50,25,Partner,532.02,9,18
L100971,2026-01-11,COL,-5,AccountantFirm,Marketplace,11-50,26,Senior Accountant,268.69,9,18
L100972,2026-01-15,MEX,-6,SMB,Partner Program,2-10,6,Operations,69.3,8,18
L100973,2026-02-20,COL,-5,SMB,Webinar,Solo,1,Owner,22.99,8,18
L100974,2026-04-13,COL,-5,SMB,Partner Program,2-10,4,Operations,82.84,8,18
L100975,2026-03-02,COL,-5,SMB,Referral,11-50,12,Finance Lead,176.88,8,18
L100976,2026-03-30,COL,-5,SMB,Outbound,Solo,1,Owner,37.81,8,18
L100977,2026-02-01,CRI,-6,AccountantFirm,Partner Program,51-200,67,Partner,582.18,9,18
L100978,2026-05-13,MEX,-6,SMB,Outbound,11-50,40,Owner,135.03,8,18
L100979,2026-02-26,COL,-5,SMB,Webinar,11-50,37,Owner,117.65,8,18
L100980,2026-01-13,CRI,-6,SMB,Organic,2-10,4,Owner,51.87,8,18
L100981,2026-05-15,PER,-5,SMB,Webinar,11-50,48,Finance Lead,184.02,8,18
L100982,2026-06-13,PER,-5,SMB,Paid Search,Solo,1,Owner,27.36,8,18
L100983,2026-01-03,CRI,-6,SMB,Organic,11-50,32,Owner,206.22,8,18
L100984,2026-03-21,PER,-5,SMB,Marketplace,2-10,9,Operations,80.13,8,18
L100985,2026-05-30,MEX,-6,SMB,Paid Search,2-10,9,Owner,46.94,8,18
L100986,2026-05-08,PER,-5,AccountantFirm,Webinar,2-10,4,Senior Accountant,276.39,9,18
L100987,2026-06-05,PER,-5,SMB,Paid Search,2-10,7,Finance Lead,72.39,8,18
L100988,2026-03-17,COL,-5,SMB,Webinar,2-10,7,Owner,60.15,8,18
L100989,2026-03-09,PER,-5,SMB,Paid Search,2-10,6,Finance Lead,73.66,8,18
L100990,2026-05-09,CRI,-6,SMB,Marketplace,2-10,7,Owner,114.12,8,18
L100991,2026-01-28,CRI,-6,SMB,Organic,Solo,1,Operations,43.36,8,18
L100992,2026-02-13,PER,-5,AccountantFirm,Referral,11-50,24,Firm Owner,256.96,9,18
L100993,2026-04-19,MEX,-6,SMB,Webinar,2-10,2,Finance Lead,52.9,8,18
L100994,2026-05-01,MEX,-6,SMB,Marketplace,2-10,2,Finance Lead,80.61,8,18
L100995,2026-01-22,DOM,-4,SMB,Marketplace,Solo,1,Owner,23.89,8,18
L100996,2026-04-03,DOM,-4,AccountantFirm,Referral,11-50,28,Senior Accountant,442.4,9,18
L100997,2026-03-08,PER,-5,SMB,Marketplace,11-50,47,Owner,242.1,8,18
L100998,2026-04-01,PER,-5,SMB,Outbound,11-50,19,Owner,183.8,8,18
L100999,2026-06-23,DOM,-4,AccountantFirm,Partner Program,2-10,7,Senior Accountant,110.87,9,18
L101000,2026-01-14,PER,-5,SMB,Referral,2-10,3,Operations,92.0,8,18
L101001,2026-06-30,COL,-5,SMB,Outbound,11-50,36,Owner,195.53,8,18
L101002,2026-03-23,PER,-5,SMB,Referral,Solo,1,Owner,38.16,8,18
L101003,2026-05-20,COL,-5,SMB,Paid Search,11-50,18,Owner,193.64,8,18
L101004,2026-03-18,MEX,-6,AccountantFirm,Paid Search,11-50,28,Partner,416.18,9,18
L101005,2026-02-26,COL,-5,SMB,Paid Search,2-10,9,Owner,78.63,8,18
L101006,2026-05-20,MEX,-6,SMB,Webinar,2-10,5,Owner,92.84,8,18
L101007,2026-05-05,MEX,-6,SMB,Webinar,Solo,1,Owner,55.84,8,18
L101008,2026-01-27,COL,-5,SMB,Referral,2-10,10,Owner,67.41,8,18
L101009,2026-05-08,DOM,-4,AccountantFirm,Webinar,Solo,1,Firm Owner,59.64,9,18
L101010,2026-05-17,DOM,-4,SMB,Organic,2-10,2,Owner,37.49,8,18
L101011,2026-03-12,COL,-5,AccountantFirm,Marketplace,11-50,14,Firm Owner,347.04,9,18
L101012,2026-06-17,DOM,-4,SMB,Webinar,2-10,3,Finance Lead,66.75,8,18
L101013,2026-04-27,COL,-5,SMB,Referral,11-50,20,Operations,212.79,8,18
L101014,2026-03-02,COL,-5,SMB,Marketplace,11-50,28,Finance Lead,172.02,8,18
L101015,2026-01-02,COL,-5,AccountantFirm,Webinar,11-50,47,Firm Owner,420.8,9,18
L101016,2026-05-03,MEX,-6,SMB,Paid Search,2-10,4,Owner,68.08,8,18
L101017,2026-02-07,CRI,-6,SMB,Marketplace,2-10,5,Owner,60.15,8,18
L101018,2026-05-17,MEX,-6,AccountantFirm,Organic,2-10,2,Partner,189.41,9,18
L101019,2026-04-06,CRI,-6,SMB,Outbound,11-50,39,Finance Lead,222.74,8,18
L101020,2026-03-26,MEX,-6,SMB,Webinar,Solo,1,Operations,25.85,8,18
L101021,2026-01-30,CRI,-6,SMB,Organic,Solo,1,Owner,52.38,8,18
L101022,2026-05-09,PER,-5,AccountantFirm,Webinar,Solo,1,Firm Owner,58.81,9,18
L101023,2026-01-31,MEX,-6,SMB,Outbound,2-10,6,Operations,87.57,8,18
L101024,2026-03-17,COL,-5,SMB,Outbound,2-10,2,Finance Lead,71.67,8,18
L101025,2026-06-01,COL,-5,SMB,Partner Program,2-10,6,Finance Lead,62.57,8,18
L101026,2026-06-16,MEX,-6,SMB,Paid Search,2-10,3,Owner,74.16,8,18
L101027,2026-06-29,MEX,-6,SMB,Referral,2-10,5,Finance Lead,76.95,8,18
L101028,2026-06-23,COL,-5,SMB,Webinar,2-10,4,Owner,67.79,8,18
L101029,2026-04-11,PER,-5,SMB,Webinar,Solo,1,Finance Lead,32.32,8,18
L101030,2026-02-06,PER,-5,SMB,Webinar,Solo,1,Owner,40.49,8,18
L101031,2026-06-01,COL,-5,AccountantFirm,Outbound,2-10,9,Partner,230.11,9,18
L101032,2026-05-26,COL,-5,SMB,Outbound,Solo,1,Owner,47.4,8,18
L101033,2026-06-29,COL,-5,SMB,Webinar,2-10,2,Owner,36.81,8,18
L101034,2026-04-28,MEX,-6,AccountantFirm,Marketplace,11-50,34,Partner,443.81,9,18
L101035,2026-01-26,PER,-5,AccountantFirm,Partner Program,11-50,42,Partner,326.62,9,18
L101036,2026-04-02,MEX,-6,SMB,Paid Search,2-10,2,Owner,59.13,8,18
L101037,2026-03-23,COL,-5,SMB,Organic,11-50,47,Finance Lead,137.58,8,18
L101038,2026-06-02,MEX,-6,SMB,Paid Search,2-10,8,Finance Lead,93.88,8,18
L101039,2026-03-13,COL,-5,SMB,Outbound,2-10,4,Owner,62.44,8,18
L101040,2026-03-01,MEX,-6,SMB,Paid Search,2-10,6,Finance Lead,83.89,8,18
L101041,2026-01-15,MEX,-6,SMB,Webinar,Solo,1,Operations,41.71,8,18
L101042,2026-06-01,DOM,-4,SMB,Organic,51-200,153,Owner,346.05,8,18
L101043,2026-05-17,MEX,-6,SMB,Marketplace,Solo,1,Owner,34.42,8,18
L101044,2026-01-08,PER,-5,SMB,Referral,Solo,1,Owner,30.48,8,18
L101045,2026-03-20,COL,-5,SMB,Marketplace,2-10,6,Owner,78.41,8,18
L101046,2026-03-28,CRI,-6,SMB,Organic,2-10,8,Operations,72.81,8,18
L101047,2026-03-26,COL,-5,AccountantFirm,Partner Program,Solo,1,Firm Owner,109.72,9,18
L101048,2026-06-16,COL,-5,AccountantFirm,Webinar,2-10,10,Firm Owner,152.08,9,18
L101049,2026-01-28,PER,-5,SMB,Referral,11-50,25,Owner,137.7,8,18
L101050,2026-02-25,DOM,-4,SMB,Paid Search,Solo,1,Owner,24.52,8,18
L101051,2026-02-02,COL,-5,SMB,Organic,11-50,15,Operations,135.88,8,18
L101052,2026-02-14,MEX,-6,SMB,Paid Search,11-50,28,Operations,170.5,8,18
L101053,2026-06-14,DOM,-4,AccountantFirm,Outbound,2-10,7,Partner,105.33,9,18
L101054,2026-06-20,PER,-5,SMB,Referral,Solo,1,Owner,57.52,8,18
L101055,2026-01-09,DOM,-4,SMB,Paid Search,11-50,42,Owner,129.68,8,18
L101056,2026-04-25,COL,-5,SMB,Organic,2-10,4,Finance Lead,64.97,8,18
L101057,2026-02-12,MEX,-6,SMB,Marketplace,Solo,1,Owner,34.54,8,18
L101058,2026-02-04,COL,-5,SMB,Organic,2-10,10,Finance Lead,34.85,8,18
L101059,2026-02-22,COL,-5,SMB,Paid Search,51-200,56,Owner,323.39,8,18
L101060,2026-02-05,MEX,-6,AccountantFirm,Marketplace,2-10,7,Senior Accountant,164.61,9,18
L101061,2026-03-30,CRI,-6,SMB,Marketplace,Solo,1,Owner,43.86,8,18
L101062,2026-06-30,COL,-5,SMB,Marketplace,11-50,28,Owner,170.22,8,18
L101063,2026-04-17,CRI,-6,SMB,Paid Search,2-10,8,Owner,73.1,8,18
L101064,2026-05-11,DOM,-4,SMB,Webinar,2-10,4,Owner,84.53,8,18
L101065,2026-03-31,CRI,-6,SMB,Organic,2-10,10,Owner,85.46,8,18
L101066,2026-01-03,COL,-5,SMB,Paid Search,Solo,1,Owner,19.0,8,18
L101067,2026-01-16,MEX,-6,AccountantFirm,Referral,11-50,11,Firm Owner,209.05,9,18
L101068,2026-02-18,COL,-5,SMB,Organic,2-10,9,Finance Lead,56.06,8,18
L101069,2026-02-14,COL,-5,SMB,Paid Search,Solo,1,Finance Lead,27.06,8,18
L101070,2026-06-02,COL,-5,SMB,Outbound,Solo,1,Owner,31.92,8,18
L101071,2026-06-02,COL,-5,SMB,Outbound,2-10,6,Finance Lead,88.54,8,18
L101072,2026-06-04,COL,-5,SMB,Outbound,2-10,6,Owner,79.69,8,18
L101073,2026-04-26,COL,-5,AccountantFirm,Webinar,Solo,1,Firm Owner,59.31,9,18
L101074,2026-04-11,PER,-5,SMB,Marketplace,2-10,4,Owner,54.1,8,18
L101075,2026-04-28,CRI,-6,SMB,Paid Search,2-10,5,Operations,70.54,8,18
L101076,2026-03-15,MEX,-6,SMB,Paid Search,2-10,5,Owner,65.74,8,18
L101077,2026-05-02,PER,-5,SMB,Webinar,11-50,23,Owner,240.38,8,18
L101078,2026-05-24,COL,-5,SMB,Outbound,51-200,52,Finance Lead,369.76,8,18
L101079,2026-05-19,MEX,-6,SMB,Referral,Solo,1,Finance Lead,33.54,8,18
L101080,2026-04-22,CRI,-6,SMB,Webinar,2-10,5,Finance Lead,49.02,8,18
L101081,2026-01-11,MEX,-6,SMB,Paid Search,Solo,1,Owner,28.37,8,18
L101082,2026-05-12,COL,-5,AccountantFirm,Referral,2-10,5,Partner,160.57,9,18
L101083,2026-03-08,MEX,-6,AccountantFirm,Referral,11-50,39,Partner,357.93,9,18
L101084,2026-05-15,MEX,-6,AccountantFirm,Partner Program,51-200,121,Firm Owner,928.36,9,18
L101085,2026-04-08,DOM,-4,AccountantFirm,Organic,Solo,1,Firm Owner,79.66,9,18
L101086,2026-06-09,MEX,-6,AccountantFirm,Partner Program,Solo,1,Firm Owner,118.26,9,18
L101087,2026-03-03,MEX,-6,AccountantFirm,Referral,11-50,32,Firm Owner,590.03,9,18
L101088,2026-06-18,COL,-5,AccountantFirm,Partner Program,2-10,6,Partner,179.52,9,18
L101089,2026-06-02,MEX,-6,AccountantFirm,Partner Program,11-50,27,Partner,472.36,9,18
L101090,2026-03-01,COL,-5,AccountantFirm,Webinar,2-10,8,Senior Accountant,162.85,9,18
L101091,2026-03-29,PER,-5,AccountantFirm,Partner Program,11-50,38,Firm Owner,460.36,9,18
L101092,2026-04-07,DOM,-4,SMB,Paid Search,2-10,10,Owner,60.3,8,18
L101093,2026-05-20,MEX,-6,SMB,Outbound,2-10,6,Owner,52.7,8,18
L101094,2026-05-05,DOM,-4,SMB,Organic,2-10,2,Operations,60.12,8,18
L101095,2026-06-04,COL,-5,AccountantFirm,Partner Program,Solo,1,Partner,92.28,9,18
L101096,2026-03-08,MEX,-6,SMB,Referral,Solo,1,Owner,34.86,8,18
L101097,2026-04-02,MEX,-6,AccountantFirm,Partner Program,11-50,34,Partner,481.05,9,18
L101098,2026-03-19,MEX,-6,AccountantFirm,Outbound,2-10,5,Firm Owner,162.22,9,18
L101099,2026-06-14,DOM,-4,AccountantFirm,Referral,2-10,2,Senior Accountant,137.42,9,18
L101100,2026-02-25,PER,-5,SMB,Partner Program,Solo,1,Owner,26.13,8,18
L101101,2026-04-17,MEX,-6,SMB,Webinar,2-10,9,Operations,81.56,8,18
L101102,2026-01-22,MEX,-6,AccountantFirm,Webinar,2-10,7,Senior Accountant,313.95,9,18
L101103,2026-06-03,DOM,-4,AccountantFirm,Outbound,Solo,1,Senior Accountant,92.13,9,18
L101104,2026-03-11,COL,-5,AccountantFirm,Webinar,11-50,36,Partner,408.12,9,18
L101105,2026-03-03,COL,-5,SMB,Outbound,11-50,36,Finance Lead,216.57,8,18
L101106,2026-04-16,PER,-5,SMB,Organic,2-10,10,Finance Lead,70.09,8,18
L101107,2026-04-01,CRI,-6,SMB,Webinar,Solo,1,Owner,38.71,8,18
L101108,2026-06-03,PER,-5,AccountantFirm,Marketplace,11-50,38,Senior Accountant,192.96,9,18
L101109,2026-04-07,COL,-5,SMB,Marketplace,11-50,39,Operations,149.85,8,18
L101110,2026-04-04,COL,-5,AccountantFirm,Referral,2-10,8,Senior Accountant,180.93,9,18
L101111,2026-01-20,MEX,-6,AccountantFirm,Organic,11-50,39,Partner,492.91,9,18
L101112,2026-01-04,PER,-5,SMB,Paid Search,11-50,39,Owner,185.11,8,18
L101113,2026-03-14,COL,-5,SMB,Paid Search,Solo,1,Owner,25.76,8,18
L101114,2026-06-30,COL,-5,SMB,Paid Search,11-50,14,Operations,186.11,8,18
L101115,2026-06-16,COL,-5,AccountantFirm,Organic,2-10,5,Senior Accountant,238.8,9,18
L101116,2026-04-24,CRI,-6,SMB,Paid Search,2-10,4,Owner,55.8,8,18
L101117,2026-04-25,CRI,-6,SMB,Marketplace,2-10,10,Operations,83.87,8,18
L101118,2026-03-12,DOM,-4,SMB,Paid Search,Solo,1,Owner,29.02,8,18
L101119,2026-02-02,COL,-5,SMB,Paid Search,2-10,7,Operations,48.7,8,18
L101120,2026-01-02,DOM,-4,AccountantFirm,Organic,Solo,1,Firm Owner,49.0,9,18
L101121,2026-03-03,MEX,-6,SMB,Paid Search,2-10,6,Owner,52.85,8,18
L101122,2026-02-27,COL,-5,SMB,Webinar,Solo,1,Owner,40.77,8,18
L101123,2026-02-04,COL,-5,SMB,Outbound,2-10,6,Finance Lead,72.38,8,18
L101124,2026-02-16,MEX,-6,SMB,Marketplace,Solo,1,Owner,43.17,8,18
L101125,2026-01-05,COL,-5,SMB,Webinar,11-50,38,Owner,200.57,8,18
L101126,2026-04-21,PER,-5,AccountantFirm,Marketplace,11-50,41,Firm Owner,272.77,9,18
L101127,2026-06-17,MEX,-6,SMB,Paid Search,51-200,81,Owner,345.46,8,18
L101128,2026-05-06,MEX,-6,SMB,Webinar,Solo,1,Operations,39.53,8,18
L101129,2026-03-23,DOM,-4,SMB,Paid Search,51-200,200,Owner,314.36,8,18
L101130,2026-03-18,DOM,-4,SMB,Paid Search,11-50,41,Owner,161.56,8,18
L101131,2026-02-25,COL,-5,AccountantFirm,Referral,11-50,19,Partner,348.73,9,18
L101132,2026-01-26,DOM,-4,SMB,Paid Search,11-50,35,Owner,131.65,8,18
L101133,2026-04-19,COL,-5,AccountantFirm,Outbound,51-200,115,Partner,589.08,9,18
L101134,2026-04-13,MEX,-6,SMB,Paid Search,Solo,1,Owner,22.82,8,18
L101135,2026-01-02,DOM,-4,SMB,Paid Search,Solo,1,Owner,35.02,8,18
L101136,2026-03-17,MEX,-6,SMB,Marketplace,Solo,1,Operations,42.01,8,18
L101137,2026-02-20,MEX,-6,SMB,Paid Search,11-50,26,Operations,208.98,8,18
L101138,2026-01-31,COL,-5,AccountantFirm,Referral,2-10,9,Firm Owner,192.36,9,18
L101139,2026-05-08,MEX,-6,SMB,Outbound,2-10,4,Owner,86.03,8,18
L101140,2026-04-06,COL,-5,SMB,Webinar,2-10,9,Owner,64.65,8,18
L101141,2026-04-25,PER,-5,SMB,Organic,2-10,7,Owner,55.41,8,18
L101142,2026-05-10,MEX,-6,SMB,Marketplace,2-10,9,Operations,98.39,8,18
L101143,2026-06-27,PER,-5,AccountantFirm,Partner Program,2-10,8,Firm Owner,151.95,9,18
L101144,2026-05-26,MEX,-6,AccountantFirm,Outbound,11-50,35,Partner,409.35,9,18
L101145,2026-04-23,CRI,-6,SMB,Paid Search,2-10,3,Owner,54.72,8,18
L101146,2026-06-09,COL,-5,AccountantFirm,Organic,11-50,50,Firm Owner,361.64,9,18
L101147,2026-03-28,COL,-5,AccountantFirm,Partner Program,2-10,7,Firm Owner,106.86,9,18
L101148,2026-06-28,COL,-5,SMB,Paid Search,51-200,104,Finance Lead,370.47,8,18
L101149,2026-05-18,COL,-5,SMB,Organic,2-10,4,Finance Lead,58.53,8,18
L101150,2026-04-28,PER,-5,SMB,Paid Search,2-10,3,Finance Lead,64.75,8,18
L101151,2026-06-13,DOM,-4,AccountantFirm,Referral,11-50,23,Partner,268.85,9,18
L101152,2026-04-04,DOM,-4,AccountantFirm,Partner Program,Solo,1,Senior Accountant,67.7,9,18
L101153,2026-05-11,MEX,-6,SMB,Referral,2-10,3,Finance Lead,71.34,8,18
L101154,2026-02-21,MEX,-6,AccountantFirm,Paid Search,11-50,46,Partner,311.65,9,18
L101155,2026-06-24,DOM,-4,AccountantFirm,Organic,11-50,28,Firm Owner,242.03,9,18
L101156,2026-04-23,CRI,-6,SMB,Outbound,Solo,1,Finance Lead,43.24,8,18
L101157,2026-05-22,MEX,-6,SMB,Marketplace,2-10,7,Finance Lead,37.55,8,18
L101158,2026-03-25,DOM,-4,AccountantFirm,Organic,2-10,9,Senior Accountant,210.4,9,18
L101159,2026-06-06,COL,-5,AccountantFirm,Marketplace,2-10,10,Senior Accountant,177.12,9,18
L101160,2026-01-14,PER,-5,SMB,Organic,2-10,6,Operations,65.63,8,18
L101161,2026-01-21,COL,-5,SMB,Organic,Solo,1,Operations,33.26,8,18
L101162,2026-04-02,MEX,-6,SMB,Outbound,11-50,13,Operations,213.31,8,18
L101163,2026-05-13,PER,-5,SMB,Partner Program,Solo,1,Finance Lead,31.89,8,18
L101164,2026-05-27,COL,-5,SMB,Organic,Solo,1,Owner,38.8,8,18
L101165,2026-03-21,COL,-5,SMB,Organic,2-10,7,Finance Lead,86.23,8,18
L101166,2026-04-28,MEX,-6,SMB,Organic,11-50,48,Owner,253.45,8,18
L101167,2026-04-11,MEX,-6,SMB,Referral,2-10,5,Owner,45.53,8,18
L101168,2026-06-24,PER,-5,SMB,Marketplace,11-50,15,Owner,297.68,8,18
L101169,2026-04-29,CRI,-6,SMB,Marketplace,11-50,39,Finance Lead,242.32,8,18
L101170,2026-03-17,MEX,-6,AccountantFirm,Partner Program,2-10,7,Partner,383.84,9,18
L101171,2026-06-25,PER,-5,SMB,Organic,11-50,17,Operations,159.14,8,18
L101172,2026-01-20,DOM,-4,SMB,Paid Search,51-200,51,Owner,233.71,8,18
L101173,2026-06-28,PER,-5,SMB,Organic,11-50,31,Owner,226.78,8,18
L101174,2026-01-28,COL,-5,SMB,Organic,51-200,73,Finance Lead,390.04,8,18
L101175,2026-02-22,MEX,-6,SMB,Paid Search,2-10,3,Owner,68.79,8,18
L101176,2026-05-29,COL,-5,SMB,Marketplace,2-10,4,Owner,49.42,8,18
L101177,2026-05-13,COL,-5,SMB,Paid Search,11-50,29,Owner,156.49,8,18
L101178,2026-06-25,DOM,-4,SMB,Webinar,Solo,1,Owner,30.4,8,18
L101179,2026-05-16,COL,-5,SMB,Outbound,2-10,9,Owner,87.54,8,18
L101180,2026-04-26,MEX,-6,SMB,Paid Search,2-10,5,Operations,58.66,8,18
L101181,2026-03-04,DOM,-4,AccountantFirm,Organic,2-10,9,Senior Accountant,182.57,9,18
L101182,2026-01-01,COL,-5,AccountantFirm,Referral,11-50,35,Partner,338.57,9,18
L101183,2026-01-23,MEX,-6,SMB,Referral,Solo,1,Owner,44.0,8,18
L101184,2026-02-23,DOM,-4,SMB,Marketplace,11-50,26,Operations,102.31,8,18
L101185,2026-01-08,PER,-5,SMB,Paid Search,51-200,127,Owner,510.06,8,18
L101186,2026-04-02,COL,-5,SMB,Paid Search,2-10,3,Operations,72.71,8,18
L101187,2026-05-21,PER,-5,SMB,Organic,Solo,1,Owner,30.5,8,18
L101188,2026-06-24,CRI,-6,SMB,Outbound,2-10,10,Owner,81.19,8,18
L101189,2026-03-30,DOM,-4,SMB,Marketplace,2-10,4,Finance Lead,73.11,8,18
L101190,2026-06-08,MEX,-6,SMB,Paid Search,2-10,10,Owner,50.84,8,18
L101191,2026-06-28,DOM,-4,SMB,Paid Search,51-200,147,Finance Lead,417.43,8,18
L101192,2026-06-05,CRI,-6,AccountantFirm,Partner Program,11-50,22,Firm Owner,293.4,9,18
L101193,2026-03-26,COL,-5,AccountantFirm,Partner Program,2-10,6,Partner,259.51,9,18
L101194,2026-02-28,PER,-5,SMB,Paid Search,2-10,3,Owner,63.95,8,18
L101195,2026-06-27,PER,-5,SMB,Webinar,2-10,7,Operations,82.8,8,18
L101196,2026-02-13,MEX,-6,SMB,Paid Search,2-10,2,Operations,69.02,8,18
L101197,2026-03-16,DOM,-4,AccountantFirm,Organic,2-10,7,Senior Accountant,49.0,9,18
L101198,2026-01-14,MEX,-6,SMB,Paid Search,2-10,3,Owner,68.14,8,18
L101199,2026-05-24,CRI,-6,SMB,Organic,11-50,16,Owner,131.19,8,18
L101200,2026-04-28,CRI,-6,SMB,Partner Program,Solo,1,Owner,21.03,8,18
L101201,2026-01-16,COL,-5,AccountantFirm,Partner Program,11-50,19,Firm Owner,431.18,9,18
L101202,2026-02-10,COL,-5,SMB,Outbound,51-200,64,Owner,421.6,8,18
L101203,2026-04-11,COL,-5,SMB,Webinar,Solo,1,Owner,34.48,8,18
L101204,2026-04-08,PER,-5,SMB,Organic,2-10,9,Operations,82.17,8,18
L101205,2026-05-26,MEX,-6,SMB,Referral,51-200,191,Finance Lead,471.38,8,18
L101206,2026-02-18,PER,-5,SMB,Outbound,2-10,10,Owner,73.27,8,18
L101207,2026-06-17,MEX,-6,SMB,Marketplace,11-50,39,Operations,206.83,8,18
L101208,2026-03-22,COL,-5,SMB,Paid Search,11-50,20,Owner,234.99,8,18
L101209,2026-05-29,PER,-5,SMB,Organic,2-10,8,Owner,73.07,8,18
L101210,2026-02-13,MEX,-6,SMB,Referral,51-200,164,Operations,477.15,8,18
L101211,2026-01-07,MEX,-6,AccountantFirm,Referral,2-10,4,Firm Owner,151.35,9,18
L101212,2026-01-10,COL,-5,SMB,Outbound,11-50,44,Owner,230.19,8,18
L101213,2026-03-09,COL,-5,SMB,Paid Search,Solo,1,Finance Lead,35.71,8,18
L101214,2026-06-22,COL,-5,SMB,Marketplace,11-50,50,Owner,166.56,8,18
L101215,2026-01-09,MEX,-6,SMB,Organic,2-10,5,Operations,52.95,8,18
L101216,2026-03-08,MEX,-6,SMB,Referral,2-10,7,Owner,60.21,8,18
L101217,2026-01-20,COL,-5,AccountantFirm,Partner Program,11-50,45,Partner,404.56,9,18
L101218,2026-06-18,COL,-5,SMB,Paid Search,11-50,21,Finance Lead,147.49,8,18
L101219,2026-05-03,COL,-5,AccountantFirm,Paid Search,11-50,50,Firm Owner,462.22,9,18
L101220,2026-05-19,MEX,-6,SMB,Paid Search,Solo,1,Finance Lead,32.18,8,18
L101221,2026-05-10,PER,-5,SMB,Paid Search,2-10,4,Finance Lead,55.44,8,18
L101222,2026-04-29,MEX,-6,SMB,Organic,2-10,10,Operations,94.56,8,18
L101223,2026-05-21,COL,-5,SMB,Marketplace,2-10,4,Finance Lead,85.92,8,18
L101224,2026-01-02,MEX,-6,SMB,Referral,2-10,8,Operations,56.44,8,18
L101225,2026-06-06,PER,-5,SMB,Webinar,Solo,1,Operations,29.84,8,18
L101226,2026-05-14,CRI,-6,SMB,Organic,Solo,1,Owner,43.91,8,18
L101227,2026-05-14,CRI,-6,SMB,Paid Search,2-10,6,Owner,73.84,8,18
L101228,2026-03-13,PER,-5,SMB,Paid Search,Solo,1,Owner,36.74,8,18
L101229,2026-05-25,DOM,-4,AccountantFirm,Webinar,Solo,1,Senior Accountant,101.65,9,18
L101230,2026-03-11,PER,-5,SMB,Outbound,2-10,5,Operations,76.91,8,18
L101231,2026-01-09,COL,-5,SMB,Marketplace,11-50,28,Owner,122.47,8,18
L101232,2026-06-14,CRI,-6,SMB,Paid Search,11-50,20,Operations,163.28,8,18
L101233,2026-02-12,PER,-5,SMB,Organic,2-10,8,Operations,97.98,8,18
L101234,2026-01-19,PER,-5,SMB,Outbound,11-50,50,Finance Lead,131.66,8,18
L101235,2026-04-23,MEX,-6,SMB,Organic,2-10,7,Owner,82.01,8,18
L101236,2026-02-12,CRI,-6,SMB,Paid Search,2-10,4,Operations,84.63,8,18
L101237,2026-06-05,COL,-5,AccountantFirm,Marketplace,2-10,8,Partner,217.12,9,18
L101238,2026-03-22,MEX,-6,SMB,Marketplace,Solo,1,Owner,38.42,8,18
L101239,2026-01-01,MEX,-6,SMB,Webinar,51-200,116,Operations,483.13,8,18
L101240,2026-06-22,MEX,-6,SMB,Outbound,Solo,1,Owner,37.53,8,18
L101241,2026-04-04,DOM,-4,SMB,Organic,Solo,1,Owner,22.76,8,18
L101242,2026-02-17,MEX,-6,SMB,Outbound,51-200,189,Operations,492.96,8,18
L101243,2026-05-03,COL,-5,SMB,Organic,Solo,1,Owner,31.17,8,18
L101244,2026-04-07,COL,-5,SMB,Paid Search,2-10,4,Finance Lead,66.27,8,18
L101245,2026-01-06,DOM,-4,SMB,Referral,2-10,6,Owner,61.93,8,18
L101246,2026-05-18,DOM,-4,SMB,Webinar,Solo,1,Operations,20.75,8,18
L101247,2026-03-14,DOM,-4,AccountantFirm,Partner Program,2-10,6,Partner,148.87,9,18
L101248,2026-05-07,COL,-5,SMB,Paid Search,2-10,9,Owner,81.75,8,18
L101249,2026-06-12,CRI,-6,SMB,Outbound,2-10,2,Owner,95.44,8,18
L101250,2026-04-21,DOM,-4,AccountantFirm,Webinar,2-10,7,Partner,170.12,9,18
