activity_id,lead_id,activity_at,activity_type,activity_source,rep_id,duration_minutes
A00838X00,L100838,2026-04-20 14:00:00,task,human,AE08,41
A00838X01,L100838,2026-04-18 15:00:00,email,human,AE07,53
A00838X02,L100838,2026-04-15 16:00:00,meeting,human,AE07,12
A00838X03,L100838,2026-04-24 15:00:00,meeting,human,AE07,50
A0083900B,L100839,2026-06-28 06:00:00,email,bot,SDR01,0
A00839X00,L100839,2026-07-15 08:00:00,whatsapp,human,AE02,34
A00839X01,L100839,2026-07-01 12:00:00,note,human,AE06,58
A00839X02,L100839,2026-07-06 18:00:00,task,human,AE02,30
A00839X03,L100839,2026-07-11 18:00:00,note,human,AE01,20
A0084000B,L100840,2026-05-16 12:00:00,whatsapp,system,,0
A0084000H,L100840,2026-05-22 15:00:00,call,human,SDR02,1
A0084100B,L100841,2026-04-21 08:00:00,whatsapp,bot,SDR03,0
A0084100H,L100841,2026-04-29 21:00:00,call,human,SDR03,7
A0084101H,L100841,2026-04-29 09:00:00,call,human,SDR03,1
A0084102H,L100841,2026-04-28 18:00:00,call,human,AE03,5
A0084200B,L100842,2026-04-06 07:00:00,task,bot,SDR01,0
A0084201B,L100842,2026-04-03 08:00:00,email,bot,SDR01,0
A0084200H,L100842,2026-04-16 17:00:00,call,human,SDR01,1
A0084201H,L100842,2026-04-04 18:00:00,call,human,SDR01,7
A0084202H,L100842,2026-04-07 08:00:00,call,human,AE09,1
A00842X00,L100842,2026-04-07 08:00:00,email,human,AE09,56
A00842X01,L100842,2026-04-06 08:00:00,email,human,AE08,46
A00842X02,L100842,2026-04-11 09:00:00,task,human,AE07,43
A00842X03,L100842,2026-04-21 10:00:00,task,human,AE09,36
A0084300B,L100843,2026-01-12 00:00:00,whatsapp,system,,0
A0084301B,L100843,2026-01-13 05:00:00,whatsapp,bot,SDR01,0
A00843X00,L100843,2026-01-19 09:00:00,meeting,human,AE05,21
A00843X01,L100843,2026-01-14 19:00:00,email,human,AE05,18
A00843X02,L100843,2026-01-27 17:00:00,email,human,AE02,12
A00843X03,L100843,2026-01-28 09:00:00,whatsapp,human,AE05,12
A0084400B,L100844,2026-01-14 08:00:00,email,system,,0
A0084400H,L100844,2026-01-24 17:00:00,call,human,SDR02,1
A0084401H,L100844,2026-01-13 10:00:00,call,human,SDR02,1
A0084402H,L100844,2026-01-22 12:00:00,call,human,AE02,1
A0084403H,L100844,2026-01-23 19:00:00,call,human,AE05,1
A0084404H,L100844,2026-01-26 14:00:00,call,human,AE05,7
A00844X00,L100844,2026-01-17 16:00:00,whatsapp,human,AE03,47
A00844X01,L100844,2026-02-01 10:00:00,note,human,AE03,46
A00844X02,L100844,2026-01-21 10:00:00,note,human,AE06,58
A0084500B,L100845,2026-04-23 09:00:00,task,system,,0
A0084500H,L100845,2026-04-27 19:00:00,call,human,SDR01,1
A0084501H,L100845,2026-05-02 14:00:00,call,human,SDR01,8
A00845X00,L100845,2026-05-03 18:00:00,email,human,AE02,8
A00845X01,L100845,2026-04-22 14:00:00,task,human,AE01,18
A00845X02,L100845,2026-04-24 12:00:00,whatsapp,human,AE03,45
A0084600H,L100846,2026-01-11 15:00:00,call,human,SDR01,6
A0084601H,L100846,2026-01-09 10:00:00,call,human,SDR01,5
A0084602H,L100846,2026-01-02 15:00:00,call,human,AE01,1
A0084700B,L100847,2026-01-08 18:00:00,whatsapp,system,,0
A0084700H,L100847,2026-01-10 15:00:00,call,human,SDR02,1
A0084701H,L100847,2026-01-18 19:00:00,call,human,SDR02,1
A0084702H,L100847,2026-01-10 17:00:00,call,human,AE06,6
A0084703H,L100847,2026-01-12 14:00:00,call,human,AE03,7
A00847X00,L100847,2026-01-16 08:00:00,email,human,AE05,32
A00847X01,L100847,2026-01-22 09:00:00,task,human,AE06,11
A00847X02,L100847,2026-01-22 18:00:00,note,human,AE04,42
A0084800H,L100848,2026-02-17 14:00:00,call,human,SDR03,5
A0084801H,L100848,2026-02-13 10:00:00,call,human,SDR03,1
A0084802H,L100848,2026-02-22 08:00:00,call,human,AE04,1
A0084803H,L100848,2026-02-13 17:00:00,call,human,AE05,4
A0084804H,L100848,2026-02-17 17:00:00,call,human,AE04,1
A0084805H,L100848,2026-02-15 19:00:00,call,human,AE03,1
A0084806H,L100848,2026-02-15 19:00:00,call,human,AE03,1
A00848X00,L100848,2026-02-14 13:00:00,email,human,AE02,12
A0084900H,L100849,2026-06-15 19:00:00,call,human,SDR02,9
A0084901H,L100849,2026-06-11 11:00:00,call,human,SDR02,1
A0084902H,L100849,2026-06-17 19:00:00,call,human,AE09,1
A0084903H,L100849,2026-06-15 18:00:00,call,human,AE09,6
A0084904H,L100849,2026-06-19 20:00:00,call,human,AE07,8
A00849X00,L100849,2026-06-25 18:00:00,email,human,AE08,24
A00849X01,L100849,2026-06-20 15:00:00,email,human,AE08,31
A00849X02,L100849,2026-06-16 12:00:00,whatsapp,human,AE08,48
A0085000B,L100850,2026-03-27 06:00:00,task,bot,SDR02,0
A0085001B,L100850,2026-03-28 22:00:00,email,bot,SDR02,0
A0085002B,L100850,2026-03-25 15:00:00,task,bot,SDR02,0
A0085000H,L100850,2026-04-03 10:00:00,call,human,SDR02,2
A0085001H,L100850,2026-03-26 08:00:00,call,human,SDR02,1
A0085002H,L100850,2026-03-31 15:00:00,call,human,AE09,6
A00850X00,L100850,2026-04-13 10:00:00,task,human,AE07,51
A00850X01,L100850,2026-03-25 13:00:00,whatsapp,human,AE09,41
A00850X02,L100850,2026-03-25 18:00:00,email,human,AE09,5
A0085100H,L100851,2026-05-14 21:00:00,call,human,SDR03,8
A0085101H,L100851,2026-05-13 20:00:00,call,human,SDR03,9
A0085102H,L100851,2026-05-18 19:00:00,call,human,AE08,7
A0085103H,L100851,2026-05-09 12:00:00,call,human,AE07,1
A0085104H,L100851,2026-05-13 17:00:00,call,human,AE07,6
A0085105H,L100851,2026-05-13 15:00:00,call,human,AE08,6
A00851X00,L100851,2026-05-28 12:00:00,task,human,AE08,17
A00851X01,L100851,2026-05-15 15:00:00,whatsapp,human,AE08,46
A00851X02,L100851,2026-05-26 19:00:00,email,human,AE08,52
A00851X03,L100851,2026-05-13 17:00:00,task,human,AE09,13
A0085200B,L100852,2026-03-18 13:00:00,email,bot,SDR02,0
A0085201B,L100852,2026-03-17 12:00:00,task,bot,SDR02,0
A0085202B,L100852,2026-03-16 14:00:00,whatsapp,system,,0
A0085200H,L100852,2026-03-29 19:00:00,call,human,SDR02,6
A0085201H,L100852,2026-03-24 16:00:00,call,human,SDR02,1
A0085202H,L100852,2026-03-25 09:00:00,call,human,AE05,1
A00852X00,L100852,2026-03-29 08:00:00,task,human,AE01,47
A00852X01,L100852,2026-03-28 17:00:00,whatsapp,human,AE01,29
A0085300B,L100853,2026-02-04 14:00:00,task,bot,SDR01,0
A0085301B,L100853,2026-02-01 11:00:00,task,bot,SDR01,0
A0085300H,L100853,2026-02-10 09:00:00,call,human,SDR01,1
A00853X00,L100853,2026-02-12 09:00:00,whatsapp,human,AE01,23
A00853X01,L100853,2026-02-19 17:00:00,task,human,AE06,30
A00853X02,L100853,2026-02-16 15:00:00,note,human,AE02,9
A00853X03,L100853,2026-02-18 19:00:00,note,human,AE01,13
A0085400B,L100854,2026-03-12 09:00:00,task,system,,0
A0085401B,L100854,2026-03-10 15:00:00,whatsapp,system,,0
A0085400H,L100854,2026-03-20 16:00:00,call,human,SDR02,1
A0085401H,L100854,2026-03-10 11:00:00,call,human,SDR02,1
A0085402H,L100854,2026-03-21 14:00:00,call,human,AE01,1
A0085403H,L100854,2026-03-15 18:00:00,call,human,AE04,1
A00854X00,L100854,2026-03-24 18:00:00,email,human,AE01,6
A0085500H,L100855,2026-01-24 19:00:00,call,human,SDR03,1
A0085501H,L100855,2026-01-21 15:00:00,call,human,SDR03,10
A0085502H,L100855,2026-01-23 18:00:00,call,human,AE09,10
A0085503H,L100855,2026-01-29 20:00:00,call,human,AE07,6
A00855X00,L100855,2026-01-23 10:00:00,whatsapp,human,AE09,45
A00855X01,L100855,2026-01-24 18:00:00,email,human,AE09,10
A00855X02,L100855,2026-01-17 12:00:00,task,human,AE09,35
A0085600B,L100856,2026-05-20 21:00:00,task,system,,0
A00856X00,L100856,2026-05-29 18:00:00,meeting,human,AE02,45
A00856X01,L100856,2026-06-01 16:00:00,note,human,AE06,5
A00856X02,L100856,2026-06-07 11:00:00,email,human,AE02,5
A00856X03,L100856,2026-06-03 19:00:00,email,human,AE06,25
A0085700B,L100857,2026-02-04 23:00:00,task,system,,0
A0085700H,L100857,2026-02-16 11:00:00,call,human,SDR01,1
A00857X00,L100857,2026-02-16 13:00:00,task,human,AE06,57
A00857X01,L100857,2026-02-22 12:00:00,whatsapp,human,AE05,14
A00857X02,L100857,2026-02-03 13:00:00,email,human,AE06,12
A00857X03,L100857,2026-02-18 16:00:00,meeting,human,AE04,46
A0085800B,L100858,2026-03-12 01:00:00,email,bot,SDR04,0
A0085801B,L100858,2026-03-12 23:00:00,whatsapp,bot,SDR04,0
A0085800H,L100858,2026-03-19 11:00:00,call,human,SDR04,1
A0085801H,L100858,2026-03-16 20:00:00,call,human,SDR04,8
A00858X00,L100858,2026-03-23 14:00:00,whatsapp,human,AE09,22
A00858X01,L100858,2026-03-11 17:00:00,note,human,AE09,8
A0086000B,L100860,2026-04-21 17:00:00,task,bot,SDR03,0
A0086001B,L100860,2026-04-21 15:00:00,email,bot,SDR03,0
A0086002B,L100860,2026-04-21 21:00:00,whatsapp,system,,0
A0086000H,L100860,2026-04-25 15:00:00,call,human,SDR03,9
A0086001H,L100860,2026-04-20 13:00:00,call,human,SDR03,7
A0086002H,L100860,2026-04-21 21:00:00,call,human,AE09,7
A0086003H,L100860,2026-04-19 16:00:00,call,human,AE09,4
A0086004H,L100860,2026-04-25 13:00:00,call,human,AE07,7
A0086005H,L100860,2026-04-21 09:00:00,call,human,AE07,9
A00860X00,L100860,2026-04-25 15:00:00,note,human,AE08,26
A00860X01,L100860,2026-04-30 15:00:00,note,human,AE07,37
A00860X02,L100860,2026-05-02 12:00:00,task,human,AE07,12
A00860X03,L100860,2026-04-26 08:00:00,task,human,AE09,44
A0086100B,L100861,2026-03-25 18:00:00,task,bot,SDR02,0
A0086100H,L100861,2026-03-25 15:00:00,call,human,SDR02,7
A0086101H,L100861,2026-03-30 14:00:00,call,human,SDR02,5
A0086102H,L100861,2026-03-29 14:00:00,call,human,AE02,4
A0086103H,L100861,2026-04-06 17:00:00,call,human,AE02,6
A00861X00,L100861,2026-04-04 08:00:00,note,human,AE05,52
A00861X01,L100861,2026-03-27 12:00:00,whatsapp,human,AE03,14
A00861X02,L100861,2026-03-29 17:00:00,email,human,AE04,15
A0086200B,L100862,2026-04-12 08:00:00,email,bot,SDR01,0
A0086201B,L100862,2026-04-10 08:00:00,task,bot,SDR01,0
A0086202B,L100862,2026-04-12 04:00:00,whatsapp,bot,SDR01,0
A0086200H,L100862,2026-04-14 20:00:00,call,human,SDR01,1
A0086201H,L100862,2026-04-14 18:00:00,call,human,SDR01,5
A0086202H,L100862,2026-04-15 19:00:00,call,human,AE06,7
A0086203H,L100862,2026-04-15 13:00:00,call,human,AE06,5
A00862X00,L100862,2026-04-10 15:00:00,email,human,AE05,24
A00862X01,L100862,2026-04-28 12:00:00,whatsapp,human,AE04,10
A00862X02,L100862,2026-04-18 11:00:00,whatsapp,human,AE02,22
A0086300B,L100863,2026-05-25 23:00:00,whatsapp,system,,0
A0086301B,L100863,2026-05-24 00:00:00,whatsapp,system,,0
A0086302B,L100863,2026-05-25 18:00:00,whatsapp,system,,0
A0086300H,L100863,2026-05-25 20:00:00,call,human,SDR01,7
A0086301H,L100863,2026-06-01 08:00:00,call,human,SDR01,1
A0086302H,L100863,2026-05-24 14:00:00,call,human,AE01,7
A0086303H,L100863,2026-06-03 09:00:00,call,human,AE01,1
A00863X00,L100863,2026-06-08 12:00:00,email,human,AE02,26
A00863X01,L100863,2026-06-08 19:00:00,meeting,human,AE02,40
A0086400H,L100864,2026-02-26 21:00:00,call,human,SDR01,2
A0086401H,L100864,2026-02-16 18:00:00,call,human,SDR01,2
A0086402H,L100864,2026-02-16 21:00:00,call,human,AE03,8
A0086403H,L100864,2026-02-19 09:00:00,call,human,AE04,1
A0086404H,L100864,2026-02-20 13:00:00,call,human,AE04,7
A0086405H,L100864,2026-02-21 11:00:00,call,human,AE05,1
A0086500B,L100865,2026-04-28 14:00:00,email,system,,0
A0086501B,L100865,2026-04-28 05:00:00,task,bot,SDR01,0
A0086500H,L100865,2026-05-03 18:00:00,call,human,SDR01,1
A0086501H,L100865,2026-05-04 14:00:00,call,human,SDR01,1
A0086502H,L100865,2026-05-01 11:00:00,call,human,AE09,1
A00865X00,L100865,2026-05-08 09:00:00,task,human,AE08,42
A00865X01,L100865,2026-05-02 15:00:00,note,human,AE09,47
A00865X02,L100865,2026-05-15 08:00:00,meeting,human,AE09,32
A0086600H,L100866,2026-06-17 17:00:00,call,human,SDR01,1
A0086601H,L100866,2026-06-13 13:00:00,call,human,SDR01,1
A00866X00,L100866,2026-06-26 13:00:00,note,human,AE02,24
A00866X01,L100866,2026-06-25 10:00:00,email,human,AE05,5
A00866X02,L100866,2026-06-25 09:00:00,whatsapp,human,AE01,42
A0086700B,L100867,2026-04-15 21:00:00,email,bot,SDR01,0
A0086701B,L100867,2026-04-16 11:00:00,email,bot,SDR01,0
A0086700H,L100867,2026-04-27 21:00:00,call,human,SDR01,1
A0086701H,L100867,2026-04-21 11:00:00,call,human,SDR01,1
A0086702H,L100867,2026-04-19 08:00:00,call,human,AE06,7
A0086703H,L100867,2026-04-17 20:00:00,call,human,AE04,1
A0086704H,L100867,2026-04-22 16:00:00,call,human,AE06,1
A00867X00,L100867,2026-04-22 19:00:00,whatsapp,human,AE01,48
A00867X01,L100867,2026-04-28 15:00:00,whatsapp,human,AE01,42
A00867X02,L100867,2026-04-30 19:00:00,email,human,AE04,43
A0086800B,L100868,2026-03-23 22:00:00,task,system,,0
A0086800H,L100868,2026-03-30 17:00:00,call,human,SDR01,5
A00868X00,L100868,2026-04-09 10:00:00,email,human,AE07,45
A00868X01,L100868,2026-04-10 10:00:00,whatsapp,human,AE07,21
A00868X02,L100868,2026-03-25 08:00:00,note,human,AE07,19
A0086900B,L100869,2026-01-29 19:00:00,email,bot,SDR01,0
A0086900H,L100869,2026-01-28 20:00:00,call,human,SDR01,2
A0086901H,L100869,2026-02-03 19:00:00,call,human,SDR01,3
A0086902H,L100869,2026-02-01 09:00:00,call,human,AE04,1
A0086903H,L100869,2026-02-06 11:00:00,call,human,AE03,5
A0087000H,L100870,2026-02-15 16:00:00,call,human,SDR04,1
A0087001H,L100870,2026-02-27 18:00:00,call,human,SDR04,10
A0087002H,L100870,2026-02-22 12:00:00,call,human,AE09,8
A0087003H,L100870,2026-02-16 15:00:00,call,human,AE08,1
A0087004H,L100870,2026-02-24 21:00:00,call,human,AE07,7
A0087005H,L100870,2026-02-14 21:00:00,call,human,AE07,1
A00870X00,L100870,2026-03-05 14:00:00,email,human,AE08,6
A00870X01,L100870,2026-02-17 14:00:00,email,human,AE07,29
A00870X02,L100870,2026-02-28 11:00:00,task,human,AE07,36
A0087100H,L100871,2026-07-02 17:00:00,call,human,SDR02,1
A0087101H,L100871,2026-07-03 19:00:00,call,human,SDR02,4
A0087102H,L100871,2026-06-27 13:00:00,call,human,AE05,1
A0087103H,L100871,2026-06-30 10:00:00,call,human,AE04,2
A0087104H,L100871,2026-07-02 09:00:00,call,human,AE04,1
A0087200H,L100872,2026-04-19 15:00:00,call,human,SDR02,1
A0087201H,L100872,2026-04-08 11:00:00,call,human,SDR02,1
A0087202H,L100872,2026-04-19 14:00:00,call,human,AE07,7
A0087203H,L100872,2026-04-10 13:00:00,call,human,AE08,8
A0087204H,L100872,2026-04-13 08:00:00,call,human,AE09,6
A00872X00,L100872,2026-04-26 15:00:00,note,human,AE08,11
A00872X01,L100872,2026-04-16 19:00:00,task,human,AE08,21
A0087300B,L100873,2026-02-24 23:00:00,whatsapp,bot,SDR01,0
A0087300H,L100873,2026-03-09 18:00:00,call,human,SDR01,7
A0087301H,L100873,2026-03-02 16:00:00,call,human,SDR01,9
A0087302H,L100873,2026-02-28 15:00:00,call,human,AE06,1
A0087303H,L100873,2026-03-05 10:00:00,call,human,AE05,4
A0087304H,L100873,2026-03-02 17:00:00,call,human,AE05,1
A00873X00,L100873,2026-02-24 12:00:00,email,human,AE03,45
A00873X01,L100873,2026-02-26 09:00:00,note,human,AE02,24
A00873X02,L100873,2026-03-09 11:00:00,note,human,AE05,13
A0087400B,L100874,2026-03-20 14:00:00,task,bot,SDR01,0
A0087401B,L100874,2026-03-20 08:00:00,task,system,,0
A0087402B,L100874,2026-03-19 06:00:00,whatsapp,system,,0
A0087400H,L100874,2026-03-26 20:00:00,call,human,SDR01,1
A00874X00,L100874,2026-03-21 18:00:00,task,human,AE05,49
A00874X01,L100874,2026-03-30 14:00:00,whatsapp,human,AE03,8
A00874X02,L100874,2026-04-05 11:00:00,task,human,AE03,34
A00874X03,L100874,2026-03-24 15:00:00,whatsapp,human,AE04,55
A0087500B,L100875,2026-04-15 04:00:00,email,bot,SDR02,0
A0087500H,L100875,2026-04-27 09:00:00,call,human,SDR02,1
A00875X00,L100875,2026-04-23 13:00:00,whatsapp,human,AE04,14
A00875X01,L100875,2026-04-16 16:00:00,whatsapp,human,AE04,19
A00875X02,L100875,2026-04-19 08:00:00,task,human,AE06,28
A00875X03,L100875,2026-04-24 13:00:00,meeting,human,AE03,52
A0087600B,L100876,2026-04-09 11:00:00,email,system,,0
A0087601B,L100876,2026-04-08 15:00:00,email,bot,SDR01,0
A0087602B,L100876,2026-04-11 20:00:00,email,system,,0
A0087600H,L100876,2026-04-11 20:00:00,call,human,SDR01,1
A00876X00,L100876,2026-04-24 16:00:00,email,human,AE03,31
A0087700H,L100877,2026-05-11 15:00:00,call,human,SDR03,6
A0087701H,L100877,2026-05-10 09:00:00,call,human,SDR03,1
A00877X00,L100877,2026-05-20 11:00:00,meeting,human,AE04,53
A00877X01,L100877,2026-05-17 09:00:00,whatsapp,human,AE03,41
A0087800B,L100878,2026-02-16 22:00:00,email,bot,SDR02,0
A0087801B,L100878,2026-02-17 13:00:00,whatsapp,bot,SDR02,0
A00878X00,L100878,2026-02-19 12:00:00,email,human,AE03,13
A00878X01,L100878,2026-02-17 14:00:00,task,human,AE03,51
A00878X02,L100878,2026-03-03 12:00:00,email,human,AE03,14
A0087900H,L100879,2026-04-29 14:00:00,call,human,SDR02,1
A0087901H,L100879,2026-05-11 17:00:00,call,human,SDR02,7
A0087902H,L100879,2026-05-06 18:00:00,call,human,AE06,1
A0087903H,L100879,2026-05-09 20:00:00,call,human,AE03,6
A00879X00,L100879,2026-05-11 14:00:00,email,human,AE01,22
A00879X01,L100879,2026-05-10 11:00:00,email,human,AE06,20
A00879X02,L100879,2026-05-11 19:00:00,email,human,AE01,16
A0088000B,L100880,2026-03-25 05:00:00,email,system,,0
A0088001B,L100880,2026-03-25 10:00:00,whatsapp,bot,SDR02,0
A0088002B,L100880,2026-03-23 20:00:00,task,bot,SDR02,0
A00880X00,L100880,2026-03-25 08:00:00,task,human,AE08,37
A00880X01,L100880,2026-03-26 19:00:00,task,human,AE08,43
A00880X02,L100880,2026-03-23 16:00:00,task,human,AE09,27
A00880X03,L100880,2026-04-07 16:00:00,task,human,AE08,36
A0088100B,L100881,2026-06-20 16:00:00,email,system,,0
A0088101B,L100881,2026-06-23 15:00:00,task,bot,SDR01,0
A0088102B,L100881,2026-06-22 17:00:00,whatsapp,bot,SDR01,0
A0088100H,L100881,2026-06-24 19:00:00,call,human,SDR01,6
A0088101H,L100881,2026-06-21 16:00:00,call,human,SDR01,1
A0088102H,L100881,2026-07-01 13:00:00,call,human,AE04,1
A0088103H,L100881,2026-07-01 17:00:00,call,human,AE05,4
A0088200B,L100882,2026-01-30 13:00:00,whatsapp,system,,0
A0088200H,L100882,2026-01-29 13:00:00,call,human,SDR02,4
A0088201H,L100882,2026-02-02 16:00:00,call,human,SDR02,5
A0088202H,L100882,2026-02-03 15:00:00,call,human,AE04,3
A00882X00,L100882,2026-02-17 15:00:00,meeting,human,AE05,9
A00882X01,L100882,2026-02-06 18:00:00,email,human,AE04,34
A00882X02,L100882,2026-01-30 12:00:00,note,human,AE02,54
A00882X03,L100882,2026-02-03 18:00:00,task,human,AE06,31
A0088300H,L100883,2026-01-28 15:00:00,call,human,SDR02,5
A0088301H,L100883,2026-01-30 13:00:00,call,human,SDR02,7
A0088302H,L100883,2026-02-09 21:00:00,call,human,AE09,5
A0088303H,L100883,2026-02-09 17:00:00,call,human,AE08,1
A0088304H,L100883,2026-02-02 09:00:00,call,human,AE09,1
A00883X00,L100883,2026-02-04 10:00:00,task,human,AE08,33
A00883X01,L100883,2026-02-07 12:00:00,meeting,human,AE07,35
A00883X02,L100883,2026-01-27 18:00:00,meeting,human,AE07,49
A00883X03,L100883,2026-02-13 16:00:00,meeting,human,AE07,13
A0088400B,L100884,2026-03-25 23:00:00,email,bot,SDR04,0
A0088400H,L100884,2026-03-25 17:00:00,call,human,SDR04,1
A0088401H,L100884,2026-04-07 19:00:00,call,human,SDR04,6
A00884X00,L100884,2026-04-05 19:00:00,task,human,AE02,5
A00884X01,L100884,2026-04-11 17:00:00,email,human,AE02,28
A00884X02,L100884,2026-04-10 19:00:00,email,human,AE01,37
A0088500B,L100885,2026-04-06 04:00:00,whatsapp,bot,SDR02,0
A0088501B,L100885,2026-04-05 08:00:00,whatsapp,bot,SDR02,0
A0088500H,L100885,2026-04-08 17:00:00,call,human,SDR02,7
A0088501H,L100885,2026-04-07 15:00:00,call,human,SDR02,1
A0088502H,L100885,2026-04-07 08:00:00,call,human,AE09,7
A00885X00,L100885,2026-04-21 17:00:00,email,human,AE08,22
A00885X01,L100885,2026-04-16 12:00:00,email,human,AE08,55
A00885X02,L100885,2026-04-12 08:00:00,whatsapp,human,AE07,50
A0088600B,L100886,2026-05-07 07:00:00,whatsapp,bot,SDR02,0
A0088601B,L100886,2026-05-09 18:00:00,whatsapp,system,,0
A0088602B,L100886,2026-05-09 03:00:00,task,bot,SDR02,0
A0088600H,L100886,2026-05-18 16:00:00,call,human,SDR02,1
A00886X00,L100886,2026-05-16 17:00:00,meeting,human,AE09,53
A0088700B,L100887,2026-03-16 04:00:00,email,bot,SDR02,0
A0088701B,L100887,2026-03-18 06:00:00,task,bot,SDR02,0
A0088702B,L100887,2026-03-18 17:00:00,email,bot,SDR02,0
A0088700H,L100887,2026-03-28 13:00:00,call,human,SDR02,1
A0088701H,L100887,2026-03-17 15:00:00,call,human,SDR02,1
A0088800H,L100888,2026-06-21 16:00:00,call,human,SDR01,1
A0088801H,L100888,2026-06-21 19:00:00,call,human,SDR01,7
A00888X00,L100888,2026-06-24 16:00:00,email,human,AE08,43
A00888X01,L100888,2026-06-18 17:00:00,whatsapp,human,AE07,31
A0088900B,L100889,2026-03-28 08:00:00,whatsapp,system,,0
A0088900H,L100889,2026-04-05 19:00:00,call,human,SDR01,1
A0088901H,L100889,2026-04-03 10:00:00,call,human,SDR01,1
A00889X00,L100889,2026-04-15 16:00:00,task,human,AE02,24
A00889X01,L100889,2026-04-06 19:00:00,task,human,AE02,18
A00889X02,L100889,2026-04-07 11:00:00,email,human,AE05,14
A0089000B,L100890,2026-01-24 04:00:00,whatsapp,bot,SDR02,0
A0089001B,L100890,2026-01-26 19:00:00,whatsapp,bot,SDR02,0
A0089000H,L100890,2026-02-03 18:00:00,call,human,SDR02,1
A0089001H,L100890,2026-02-03 12:00:00,call,human,SDR02,1
A0089002H,L100890,2026-02-04 10:00:00,call,human,AE06,10
A0089003H,L100890,2026-01-26 17:00:00,call,human,AE05,5
A0089004H,L100890,2026-02-04 14:00:00,call,human,AE01,5
A00890X00,L100890,2026-02-01 14:00:00,meeting,human,AE04,48
A00890X01,L100890,2026-02-04 14:00:00,meeting,human,AE01,37
A0089100B,L100891,2026-01-25 17:00:00,email,bot,SDR01,0
A0089101B,L100891,2026-01-22 07:00:00,task,bot,SDR01,0
A0089102B,L100891,2026-01-24 23:00:00,task,bot,SDR01,0
A0089200B,L100892,2026-06-28 02:00:00,email,bot,SDR02,0
A0089201B,L100892,2026-06-27 16:00:00,task,bot,SDR02,0
A0089202B,L100892,2026-06-27 13:00:00,whatsapp,bot,SDR02,0
A00892X00,L100892,2026-07-04 14:00:00,email,human,AE08,40
A0089300B,L100893,2026-01-27 11:00:00,whatsapp,bot,SDR01,0
A0089300H,L100893,2026-01-28 18:00:00,call,human,SDR01,6
A0089301H,L100893,2026-02-02 08:00:00,call,human,SDR01,1
A0089400B,L100894,2026-06-24 16:00:00,email,system,,0
A0089400H,L100894,2026-06-21 09:00:00,call,human,SDR03,9
A0089401H,L100894,2026-06-27 12:00:00,call,human,SDR03,1
A0089500B,L100895,2026-02-23 00:00:00,email,system,,0
A0089501B,L100895,2026-02-22 12:00:00,whatsapp,system,,0
A0089502B,L100895,2026-02-23 22:00:00,whatsapp,bot,SDR01,0
A0089500H,L100895,2026-02-27 12:00:00,call,human,SDR01,1
A0089600B,L100896,2026-01-18 23:00:00,task,bot,SDR01,0
A0089600H,L100896,2026-01-22 15:00:00,call,human,SDR01,8
A0089601H,L100896,2026-01-20 11:00:00,call,human,SDR01,6
A00896X00,L100896,2026-01-31 13:00:00,note,human,AE03,8
A00896X01,L100896,2026-01-24 10:00:00,task,human,AE02,33
A00896X02,L100896,2026-01-17 11:00:00,email,human,AE05,29
A00896X03,L100896,2026-01-28 13:00:00,whatsapp,human,AE05,30
A0089700B,L100897,2026-02-28 23:00:00,whatsapp,bot,SDR03,0
A0089701B,L100897,2026-02-25 03:00:00,whatsapp,bot,SDR03,0
A0089700H,L100897,2026-03-06 09:00:00,call,human,SDR03,1
A0089800B,L100898,2026-04-24 13:00:00,task,system,,0
A0089800H,L100898,2026-04-25 21:00:00,call,human,SDR02,5
A0089801H,L100898,2026-05-03 21:00:00,call,human,SDR02,3
A0089802H,L100898,2026-04-24 11:00:00,call,human,AE03,1
A0089803H,L100898,2026-05-05 08:00:00,call,human,AE03,1
A00898X00,L100898,2026-04-28 15:00:00,whatsapp,human,AE03,8
A00898X01,L100898,2026-05-04 19:00:00,meeting,human,AE03,48
A0089900B,L100899,2026-03-22 16:00:00,task,system,,0
A0089900H,L100899,2026-03-28 21:00:00,call,human,SDR02,6
A0089901H,L100899,2026-03-22 15:00:00,call,human,SDR02,1
A0089902H,L100899,2026-03-25 10:00:00,call,human,AE03,1
A0089903H,L100899,2026-03-19 09:00:00,call,human,AE05,1
A0090000B,L100900,2026-05-26 04:00:00,email,system,,0
A0090000H,L100900,2026-05-28 20:00:00,call,human,SDR01,1
A0090001H,L100900,2026-06-03 08:00:00,call,human,SDR01,1
A0090002H,L100900,2026-05-25 10:00:00,call,human,AE04,1
A0090003H,L100900,2026-05-28 13:00:00,call,human,AE06,4
A0090004H,L100900,2026-06-01 17:00:00,call,human,AE04,1
A0090005H,L100900,2026-05-30 10:00:00,call,human,AE05,4
A00900X00,L100900,2026-06-02 19:00:00,whatsapp,human,AE03,56
A00900X01,L100900,2026-05-28 16:00:00,meeting,human,AE06,12
A0090100B,L100901,2026-04-23 14:00:00,whatsapp,bot,SDR02,0
A0090101B,L100901,2026-04-21 17:00:00,task,bot,SDR02,0
A0090102B,L100901,2026-04-21 10:00:00,email,bot,SDR02,0
A0090100H,L100901,2026-05-02 19:00:00,call,human,SDR02,1
A00901X00,L100901,2026-05-05 14:00:00,task,human,AE08,17
A00901X01,L100901,2026-05-10 15:00:00,email,human,AE07,14
A00901X02,L100901,2026-04-23 13:00:00,meeting,human,AE07,55
